s,End Date,Pollster,Mode,Scope,Sample,ALP,LNC,GRN,PHON,UND,ALP 2pp,L-NP 2pp,ALP r/a,L-NP r/a,UND r/a
"Jul 27, 2022","Dec 3, 2022",Newspoll/YouGov,Online,Age 18-34,"1,474",38,25,24,4,,65,35,,,
"Feb 1, 2023","Apr 3, 2023",Newspoll/YouGov,Online,Age 18-34,"1,215",43,21,24,4,,69,31,,,
"Aug 10, 2023","Aug 14, 2023",RedBridge Group,Online,Age 18-34,258,36,28,20,,,60,40,,,
"Aug 30, 2023","Sep 4, 2023",RedBridge Group,Online,Age 18-34,256,32,27,28,,,61,39,,,
"Sep 25, 2023","Sep 29, 2023",YouGov,Online,Age 18-34,403,35,22,33,2,,,,,,
"Oct 6, 2023","Oct 10, 2023",YouGov,Online,Age 18-34,397,35,22,33,2,,,,,,
"Aug 28, 2023","Oct 12, 2023",Newspoll/Pyxis,Online,Age 18-34,"1,215",37,26,25,3,,64,36,,,
"Oct 27, 2023","Nov 2, 2023",RedBridge Group,Online,Age 18-34,256,32,26,26,,,62,38,,,
"Nov 10, 2023","Nov 14, 2023",YouGov,Online,Age 18-34,397,27,26,30,6,,,,,,
"Dec 1, 2023","Dec 5, 2023",YouGov,Online,Age 18-34,411,30,31,33,2,,,,,,
"Dec 6, 2023","Dec 10, 2023",RedBridge Group,Online,Age 18-34,513,37,20,26,,,67,33,,,
"Oct 31, 2023","Dec 15, 2023",Newspoll/Pyxis,Online,Age 18-34,934,38,22,25,6,,66,34,,,
"Jan 12, 2024","Jan 17, 2024",YouGov,Online,Age 18-34,433,33,20,30,5,,,,,,
"Jan 30, 2024","Feb 7, 2024",RedBridge Group,Online,Age 18-34,521,38,25,24,,,64,36,,,
"Feb 2, 2024","Feb 7, 2024",YouGov,Online,Age 18-34,401,32,20,34,5,,,,,,
"Feb 26, 2024","Mar 6, 2024",YouGov,Online,Age 18-34,426,32,28,30,3,,,,52,50,
"Mar 22, 2024","Mar 27, 2024",YouGov,Online,Age 18-34,428,35,25,27,4,,,,49,50,
"Jan 31, 2024","Mar 22, 2024",Newspoll/Pyxis,Online,Age 18-34,943,33,27,24,6,,61,39,,,
"Apr 20, 2024","Apr 26, 2024",RedBridge Group,Online,Age 18-34,390,32,24,26,6,,63,37,,,
"May 10, 2024","May 14, 2024",YouGov,Online,Age 18-34,406,32,30,25,4,,,,,,
"May 31, 2024","Jun 4, 2024",YouGov,Online,Age 18-34,372,34,22,33,6,,,,67,33,
"Apr 15, 2024","Jun 7, 2024",Newspoll/Pyxis,Online,Age 18-34,400,30,27,27,6,,60,40,,,
"Jul 19, 2024","Jul 23, 2024",YouGov,Online,Age 18-34,388,34,23,25,5,,,,65,35,
"Aug 23, 2024","Aug 28, 2024",YouGov,Online,Age 18-34,400,37,17,30,5,,,,69,31,
"Sep 13, 2024","Sep 19, 2024",YouGov,Online,Age 18-34,435,37,24,27,3,,,,66,34,
"Jul 15, 2024","Sep 20, 2024",Newspoll/Pyxis,Online,Age 18-34,"1,286",33,26,27,6,,62,38,,,
"Nov 6, 2024","Nov 13, 2024",RedBridge Group,Online,Age 18-34,514,39,26,22,,,63,37,,,
"Nov 15, 2024","Nov 21, 2024",YouGov,Online,Age 18-34,428,31,23,31,8,,64,36,,,
"Oct 7, 2024","Dec 6, 2024",Newspoll/Pyxis,Online,Age 18-34,964,37,25,24,6,,63,37,,,
"Feb 3, 2025","Feb 7, 2025",RedBridge Group,Online,Age 18-34,514,24,28,29,,,57,43,,,
